hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
R,32.8,9.0,3.0,92.0,61.0,44.0,12.0,14.0,4.0,8.0,49.0,1041.0,0,Hard,128,M,2022,3,R128,128.0
R,26.3,1.0,3.0,69.0,41.0,29.0,13.0,11.0,3.0,6.0,45.0,1087.0,0,Grass,32,A,2018,3,R32,120.0
R,28.5,3.0,3.0,116.0,67.0,50.0,27.0,17.0,5.0,7.0,61.0,825.0,1,Hard,32,A,2017,3,R32,138.0
R,31.3,4.0,2.0,102.0,66.0,52.0,17.0,15.0,4.0,5.0,32.0,1375.0,1,Hard,32,A,2017,3,R16,142.0
R,26.7,3.0,1.0,99.0,64.0,38.0,20.0,15.0,2.0,7.0,11.0,2305.0,1,Clay,64,A,2018,3,R16,158.0
L,25.5,4.0,2.0,46.0,33.0,23.0,7.0,8.0,0.0,1.0,65.0,1015.0,1,Hard,32,A,2021,3,R32,63.0
R,33.2,8.0,4.0,59.0,36.0,19.0,11.0,8.0,4.0,8.0,225.0,255.0,0,Grass,32,A,2018,3,R32,77.0
R,23.4,2.0,0.0,50.0,26.0,20.0,14.0,9.0,3.0,5.0,13.0,2221.0,0,Hard,64,M,2019,3,SF,67.0
R,23.2,19.0,4.0,112.0,68.0,57.0,23.0,20.0,6.0,8.0,20.0,1665.0,1,Grass,128,G,2019,5,R128,176.0
R,22.1,4.0,1.0,60.0,42.0,28.0,11.0,10.0,5.0,8.0,128.0,427.0,0,Hard,64,A,2019,3,R32,85.0
R,27.1,4.0,8.0,67.0,33.0,23.0,11.0,10.0,5.0,10.0,81.0,713.0,0,Hard,64,A,2018,3,R64,76.0
R,28.9,13.0,2.0,116.0,64.0,48.0,31.0,18.0,6.0,9.0,231.0,221.0,1,Hard,64,A,2022,3,R64,189.0
R,32.6,8.0,1.0,54.0,30.0,22.0,18.0,9.0,2.0,2.0,115.0,478.0,1,Hard,64,A,2022,3,R64,63.0
L,32.9,2.0,1.0,59.0,41.0,31.0,7.0,8.0,8.0,9.0,2.0,7945.0,1,Clay,64,M,2019,3,QF,98.0
R,26.4,3.0,2.0,110.0,73.0,45.0,19.0,16.0,6.0,11.0,10.0,2615.0,0,Hard,32,A,2018,3,R32,161.0
R,34.2,10.0,3.0,72.0,34.0,26.0,18.0,10.0,6.0,8.0,114.0,730.0,0,Hard,64,A,2021,3,R32,109.0
R,31.3,9.0,1.0,86.0,53.0,40.0,19.0,16.0,2.0,5.0,176.0,328.0,0,Grass,32,A,2018,3,R16,124.0
R,29.8,14.0,9.0,114.0,62.0,48.0,24.0,16.0,6.0,8.0,67.0,770.0,0,Hard,128,M,2019,3,R128,140.0
